name,population
Arens de Lledó,211
Ababuj,73
Abejuela,48
Aguatón,18
Aguaviva,514
Aguilar del Alfambra,63
Alacón,252
Alba,170
Albalate del Arzobispo,1980
Albarracín,1025
Albentosa,276
Alcaine,59
Alcalá de la Selva,343
Alcañiz,15947
Alcorisa,3266
Alfambra,508
Aliaga,341
Almohaja,125
Alobras,558
Alpeñés,26
Allepuz,16
Alloza,64
Allueva,22
Anadón,28
Andorra,7472
Arcos de las Salinas,119
Argente,195
Ariño,724
Azaila,90
Bádenas,19
Báguena,287
Bañón,144
Barrachina,112
Bea,31
Beceite,541
Belmonte de San José,224
Bello,113
Berge,235
Bezas,70
Blancas,126
Blesa,94
Bordón,100
Bronchales,432
Bueña,50
Burbáguena,249
Cabra de Mora,54
Calaceite,994
Calamocha,4339
Calanda,3748
Calomarde,75
Camañas,134
Camarena de la Sierra,105
Camarillas,100
Caminreal,620
Cantavieja,709
Cañada de Benatanduz,36
La Cañada de Verich,89
Cañada Vellida,31
Cañizar del Olivar,100
Cascante del Río,67
Castejón de Tornos,60
Castel de Cabra,96
Castelnou,58
Castelserás,681
El Castellar,141
Castellote,815
Cedrillas,664
Celadas,388
Cella,2574
La Cerollera,93
La Codoñera,336
Corbalán,107
Cortes de Aragón,61
Cosa,50
Cretas,567
Crivillén,62
La Cuba,43
Cubla,58
Cucalón,78
Cuervo El,78
Cuevas de Almudén,126
Cuevas Labradas,132
Ejulve,175
Escorihuela,136
Escucha,852
Estadio de Pinilla,5000
Estercuel,203
Ferreruela de Huerva,56
Fonfría,27
Formiche Alto,141
Fórnoles,80
Fortanete,205
Foz-Calanda,245
La Fresneda,438
Frías de Albarracín,115
Fuenferrada,37
Fuentes Calientes,92
Fuentes Claras,461
Fuentes de Rubielos,118
Fuentespalda,284
Galve,162
Gargallo,93
Gea de Albarracín,360
Ginebrosa La,194
Griegos,136
Guadalaviar,241
Gúdar,76
Híjar,1721
Hinojosa de Jarque,111
La Hoz de la Vieja,83
Huesa del Común,73
La Iglesuela del Cid,410
Jabaloyas,63
Jarque de la Val,66
Jatiel,37
Jorcas,30
Josa,34
Lagueruela,73
Lanzuela,22
Libros,102
Lidón,57
Linares de Mora,234
Loscos,159
Lledó,122
Maicas,28
Manzanera,531
Martín del Río,401
Mas de las Matas,1262
La Mata de los Olmos,257
Mazaleón,522
Mezquita de Jarque,96
Mirambel,116
Miravete de la Sierra,31
Molinos,239
Monforte de Moyuela,67
Monreal del Campo,2434
Monroyo,340
Montalbán,1233
Monteagudo del Castillo,54
Monterde de Albarracín,64
Mora de Rubielos,1548
Moscardón,54
Mosqueruela,537
Muniesa,583
Noguera de Albarracín,140
Nogueras,22
Nogueruelas,217
Obón,44
Odón,206
Ojos Negros,360
Olba,228
Oliete,351
Olmos Los,120
Orihuela del Tremedal,463
Orrios,125
Palomar de Arroyos,168
Pancrudo,113
Las Parras de Castellote,55
Peñarroya de Tastavins,439
Peracense,77
Peralejos,79
Perales del Alfambra,229
Pitarque,73
Plou,43
Pobo El,110
La Portellada,235
Pozondón,50
Pozuel del Campo,65
La Puebla de Híjar,897
La Puebla de Valverde,457
Puertomingalvo,109
Ráfales,138
Rillo,88
Riodeva,142
Ródenas,63
Royuela,204
Rubiales,52
Rubielos de la Cérida,39
Rubielos de Mora,621
Salcedillo,14
Saldón,27
Samper de Calanda,755
San Agustín,119
San Martín del Río,137
Santa Cruz de Nogueras,29
Santa Eulalia,1061
Sarrión,1128
Segura de los Baños,38
Seno,43
Singra,75
Terriente,183
Teruel,35890
Toril y Masegoso,32
Tormón,30
Tornos,206
Torralba de los Sisones,155
Torrecilla de Alcañiz,90
Torrecilla del Rebollar,28
Torre de Arcas,120
Torre de las Arcas,84
Torre del Compte,433
Torrelacárcel,124
Torre los Negros,151
Torremocha de Jiloca,109
Torres de Albarracín,180
Torrevelilla,186
Torrijas,41
Torrijo del Campo,455
Tramacastiel,72
Tramacastilla,103
Tronchón,67
Urrea de Gaén,435
Utrillas,2978
Valacloche,22
Valbona,167
Valdealgorfa,612
Valdecuenca,34
Valdelinares,88
Valdeltormo,283
Valderrobres,2425
Valjunquera,330
El Vallecillo,47
Veguillas de la Sierra,19
Villafranca del Campo,298
Villahermosa del Campo,89
Villanueva del Rebollar de la Sierra,39
Villar del Cobo,164
Villar del Salz,55
Villarluengo,170
Villarquemado,863
Villarroya de los Pinares,172
Villastar,505
Villel,329
Vinaceite,251
Visiedo,119
Vox,100
Vivel del Río Martín,73
La Zoma,33
